IC50_label,smiles
0,CCCN(CCC)C(=O)C1=CC(=CC(=C1)C(=O)NC(CC2=CC=CC=C2)C(CNCCC3CCN(CC3)CC4=CC=CC=C4)O)[N+](=O)[O-]
0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C
0,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5
0,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3(CCCCC3)CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5
0,COC1=CC=C(C=C1)C#CC2=CC=C(C=C2)S(=O)(=O)NC(CC3=CC=CC=C3)C(=O)O
0,COC1=CC=CC(=C1)C2=CC=C(C=C2)S(=O)(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)O
0,CC(C)NC(=O)P(=O)(O)O
0,CC(C1CCCCC1)NC(=O)P(=O)(O)O
0,COC1=CC(=CC(=C1)CCCC2C(CCCCOC3=CC=C(CC(NC2=O)C(=O)C4=CC=CC=C4)C=C3)C(=O)NO)OC
0,C1CCCC(CCC1)NC(=O)P(=O)(O)O
0,CCN(CC)C(=O)P(=O)(O)O
0,C1CN(CCN1C(=O)C2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3C(=O)NO
0,CC(=O)N1CC(CC1C(=O)OC)NC(=O)C2=CN=CC=C2
0,CC(C)C(C(=O)O)NS(=O)(=O)C1=CC=C(C=C1)C2=NC=C(O2)C3=CC=C(C=C3)OC
0,CC(C)C(C(=O)NO)NS(=O)(=O)C1=CC=C(C=C1)C2=NC=C(O2)C3=CC=C(C=C3)OC
0,CCCCCCCCCCC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC
0,C1CCN(CC1)C(=O)P(=O)(O)O
0,CC(C)C(C(=O)OC)NC(=O)CN1C(=O)CCC(C1=O)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC
0,CC#CCNC1=CC=C(C=C1)S(=O)(=O)CC2(CCCN(C2)S(=O)(=O)C(C)C)C(=O)NO
0,C1COCCN1CC2=CC=C(C=C2)C#CC3=CC=C(C=C3)C(=O)N4CC(CC4C(=O)NO)O
0,CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)S(=O)(=O)N(C)C4(CN(C4)C(=O)CC(C)C)C(=O)NO
0,CCOC(=O)C(CC1=CC2=C(O1)C=CC(=C2)C(=N)N)C3=CC=C(C=C3)OC4CCNC4
0,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC(=CC=C2)C(F)(F)F)C(=O)NC(CCCN=C(N)N)C(=O)C3=NC=CS3)NS(=O)(=O)CC4=CC=CC=C4
0,CC(=NCCCC(C(=O)NCC(=O)NC(CCCN=C(N)N)C=O)NC(=O)OC(C)(C)C)N
0,CC1=CC=C(C=C1)C2=C(C(=NC(=N2)C3=CC=CC=C3)N)CN
0,CN1C=NC2=C1C(=C(C=C2)C3=CC=CC=C3)CN
0,C1CC1N2C=C(C(=O)C3=CC(=C(N=C32)N4CC(C(C4)N)C5=CC(=C(C=C5)Cl)Cl)F)C(=O)O
0,C1CN(CCC1(C2=CC=CC=C2)NC(=O)CC(CC3=CC=CC=C3F)N)CC4=CC=CC=C4
0,C1CN(CC1NC(=O)NC2=CC=CC=C2)C#N
0,C1CCC(C(C1)C(=O)NC(CC2=CC=C(C=C2)C3=CC=CC(=C3)C#N)C#N)N
0,CC(C(=O)NC1CCSC1=O)SC(=O)C2=CC=CS2
0,CC(=O)OCC1=C(N2C(C(C2=O)OC)S(=O)(=O)C1)C(=O)OC(C)(C)C
0,CC(C)(C(=O)OC)C(=O)OC1=CC=C(C=C1)C(=O)C2=CC=CC=C2
0,CC(C)(C)C(=O)OC1=COC(=CC1=O)COC(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
0,CC(=O)OCC1=C(N2C(C(C2=O)OC)S(=O)(=O)C1)C(=O)NCCC(=O)OC(C)(C)C
0,CC(C)(C)OC(=O)C1=C(CS(=O)(=O)C2N1C(=O)C2OC)COC
0,CC(=O)OCC1=C(N2C(C(C2=O)OC3=CC=CC=C3)S(=O)(=O)C1)C(=O)OC(C)(C)C
0,CC(=O)OCC1=C(N2C(C(C2=O)OC(=O)NC)S(=O)(=O)C1)C(=O)OC(C)(C)C
0,CC(C)C1C2N(C1=O)C(=C(S2)C3=CC=CC=C3)C(=O)OCC4=CC=CC=C4
0,CC(C)C(C(=O)C(F)(F)F)NC(=O)C1CCCN1C(=O)C(C(C)C)NC(=O)CN2C=CC(=O)NC2=O
0,C1C(=O)N(C(=O)N1C2=CC=CC=C2)S(=O)(=O)C3=CC=CC(=C3)C(=O)O
0,CN(CC1=CC=CC=C1)C(=O)C2=CC3=CC=CC=C3C=C2C(=O)C(C4=CC=CC5=CC=CC=C54)P(=O)(O)O
0,CC(C(=O)NN(CC(=O)N)C(=O)OC=CC(=O)NCC1=CC=CC=C1)NC(=O)C(C)NC(=O)OCC2=CC=CC=C2
0,COC1=CC=C(C=C1)CCN(CCC(=O)NO)S(=O)(=O)C2=CC=C(C=C2)OC
0,COC1=CC=C(C=C1)S(=O)(=O)N(CCC(=O)NO)CC2CCCCC2
0,C1=CC=C(C=C1)CCN(CCC(=O)NO)S(=O)(=O)C2=CC=C(C=C2)C(=O)O
0,C1CN(CCC1CC2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3C(=O)NO
0,CCOC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)C#CC3(CN4CCC3CC4)O
0,CC#CCNC1=CC=C(C=C1)S(=O)(=O)CC2(CCN(CC2)C(=O)C3=CC=CC=C3C)C(=O)NO
0,CC(C)ON(CC(=O)NO)S(=O)(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)OC
0,CC(C)CC(CC(=O)NNC1=CC(=C(C=C1)Cl)Cl)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC
0,CCCCCNC(=O)CCC(C(=O)O)NS(=O)(=O)C1=CC=C(C=C1)C2=CC=CC=C2
0,CCCCCCCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC
0,CCCCOC1=CC=C(C=C1)S(=O)(=O)N2CC(CC2C(=O)NO)N3C(=O)CN(C3=O)CC=C
0,CC(C)C(C(=O)O)NS(=O)(=O)C1=CC=C(C=C1)C2=CC=CC(=C2)CNC(=O)C3=NC4=CC=CC=C4C(=O)N3
0,CCC(C1=NC=C(C=C1)C(=O)O)NC(=O)N2CC(=O)NCC(C2=O)CC3=C(C=CC(=C3)Cl)OC
0,CC(C)CCNC(=O)C(CC(C)C)NC(=O)C1C(O1)C(=O)OCCBr
0,CC(C)CCNC(=O)C(CC(C)C)NC(=O)C1C(O1)C(=O)OCC(Cl)(Cl)Cl
0,CCN1C(CC2=CC3=C(C=C2S1(=O)=O)OCCO3)C(=O)NC(CC4=CC=CC=C4)C(=O)C(=O)OC
0,CCNC(=O)C(=O)C(CC1=CC=CC=C1)NC(=O)C2CC3=C(C=CC(=C3)Cl)S(=O)(=O)N2CC
0,CCCCNC(=O)C(=O)C(CC(C)C)NC(=O)C1CC2=CC3=C(C=C2S(=O)(=O)N1CC)OCCO3
0,C1=CC=C(C=C1)N2C=C(N=N2)CNC(=O)C(CC3=CSC=N3)NC(=O)C4C(O4)C(=O)O
0,COC1=CC=C(C=C1)S(=O)(=O)N(CC2=CN=CC=C2)C3=C4C=CC(=CC4=NC=C3C(=O)NO)C(F)(F)F
0,CC(C)CC1C(CCCOC(=O)NCCCCC(NC1=O)C(=O)NC)C(=O)NO
0,CC(C)CC1=CC=C(C=C1)C2(CCN(C2=O)C(C)C(=O)NO)C
0,CC(C)CC1C(CCCOC2=CC=C(CCC(NC1=O)C(=O)NC)C=C2)C(=O)NO
0,CC(C)CC1C(CCCOC2=CC=C(CC(NC1=O)C(=O)NCCC3=CC=C(C=C3)S(=O)(=O)N)C=C2)C(=O)NO
0,CC1C(N(CCN1S(=O)(=O)C)S(=O)(=O)C2=CC=C(C=C2)OCC3=CC=CC=C3C)C(=O)NO
0,CCOC1=CC(=CC(=C1)COC2=CC3=C(C=C2)SN(CCN3)C(CCCC(=O)OC)C(=O)NO)OCC
0,B(C1CCCN1C(=O)C(C)N)(O)O
0,C1CCN(C1)C(=O)C2CCC3=C(C=C(C(=O)N23)OC4=CC=CC=C4)Cl
0,B(C1CCCN1C(=O)C(C)NC(=O)C2=CC=NC3=CC=CC=C23)(O)O
0,COC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NCC(=O)N4CCCC4C#N
0,CC1=CC2=C(C=C1)N(C=C2C3CN=C(N3)C)S(=O)(=O)C4=CC=CC=C4C
0,C1CC1CS(=O)(=O)CC(C(=O)NC2(CC2)C#N)NC(C3=CC=C(C=C3)F)C(F)(F)F
0,C1CS(=O)(=O)C2N1C(=O)C2NC(=O)C(CC3=CC(=CC=C3)F)NC(=O)OCC4=CC=CC=C4
0,C1CCC(C(C1)C(=O)NC2(CC2)C#N)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F
0,CC(C)CNC(=O)P(=O)(O)O.C1CCC(CC1)N
0,CN1C=NC2=C1CC(N(C2)S(=O)(=O)C3=CC=C(C=C3)OC)C(=O)O
0,COC1=CC=C(C=C1)S(=O)(=O)N2CC3=CC=CC=C3CC2C(=O)NO
0,CSC1=NC=CC(=N1)C2=CC=C(S2)S(=O)(=O)N3CC4=CC=CC=C4CC3C(=O)C(=O)O
0,CC(C)CC(C(C(=O)NO)O)C(=O)N1CCCCC1
0,C1COCCC1(C(=O)NO)S(=O)(=O)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)Cl
0,C1=CC(=CC(=C1)C2=CC=C(C=C2)CS(=O)(=O)CC3=NNC(=O)N3)CNC(=O)C4=NC5=C(C(=CS5)C6=CC(=CC=C6)Cl)C(=O)N4
0,C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)C3=CC=CC=C3C(=O)NO
0,COC1=CC=C(C=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC(=O)COC4=CC=CC=C4
0,C1=CC=C(C=C1)CCCCNC(=S)NNC(=O)COC2=CC=C(C=C2)Cl
0,C1=CC=C(C=C1)COC2=CC=C(C=C2)OCC(=O)NNC(=S)NCC3=CC=C(C=C3)C4=CC=CC=C4
0,COC1=CC=C(C=C1)C2=C(SC(=N2)C=C3NC(=O)CS3)CC(=O)O
0,CC#CCOC1=CC=C(C=C1)S(=O)(=O)N(C)C2=C3C(=NN(C3=NC=C2C(=O)NO)C)C
0,CC(C)CC(CC1=CN=CC=C1)(C(=O)NO)S(=O)(=O)C2=CC=C(C=C2)OC
0,CCOC1=CC=C(C=C1)C2=CC=C(C=C2)OCC(CN3C(=O)C(NC3=O)(C)C)N(C=O)O
0,C1CC1N2CCC(CC2)(C(=O)NO)S(=O)(=O)C3=CC=C(C=C3)OC4=CC5=C(C=C4)OCO5
0,CCOC1=CC=C(C=C1)OC2=CC=C(C=C2)S(=O)(=O)C3(CCN(CC3)C4CC4)C(=O)NO
0,CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC2=CC=CC=C2)CC(=O)NO
0,CC(C)CC(C(CN(C)S(=O)(=O)C)C(=O)NO)C(=O)N(C)C
0,CC1C(C1(C(=O)O)NS(=O)(=O)C2=CC3=C(S2)C4=C(N3)C=C(C=C4)Cl)C5=CC=CC=C5
0,C1C(N(CS1)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C(=O)NO
0,COC1=CC=C(C=C1)S(=O)(=O)C2CCCC(C2)S
0,C1=CC2=C(C=C1I)C(=C(N2)O)N=NC(=S)N
0,CC(C)CC(C(=O)OCC(=O)NC1=C(C=CC(=C1)Cl)OC)N2C(=O)C3CC=CCC3C2=O
0,C1CN(N=C1C2=CC(=CC=C2)Br)C(=S)NC3=CC(=CC=C3)Cl
0,C1=CC=C(C(=C1)C2=NN=C(O2)C(=O)NC3=NNC(=C3)C4=CC=CS4)N
